channel,source,cutoff_min,plateau_pass,start_min,end_min,samples,baseline_mdeg,tail_amplitude_mdeg,Rinf_mdeg,kobs_per_s,tau_s,tau_min,t95_experiment_min,t99_experiment_min,remaining_tail_mdeg_at_cutoff,rmse_mdeg,residual_lag1,parameter_boundary,rate_stable_20pct,joint_exploratory_gate
L2 785nm,Centroid + vendor TIR,56.0,False,43.57848333333333,55.8809,92,50.9540385102359,3.4920567123696276,54.44609522260552,0.009391841856119217,106.47538739682398,1.7745897899470662,48.894679239397156,51.75077132635643,0.0034065670384219164,0.6128168621540597,0.39584326435271594,False,True,False
L2 785nm,Centroid + vendor TIR,57.0,False,43.57848333333333,56.96208333333333,100,50.969909001825044,3.4929756188438112,54.46288462066886,0.009211842767093723,108.55591278350634,1.809265213058439,48.99855752351103,51.910457551055444,0.0021409553043291326,0.5962025029638344,0.387483640917818,False,True,False
L2 785nm,Centroid + vendor TIR,58.0,False,43.57848333333333,57.90773333333333,107,50.9191854053563,3.490331369762568,54.40951677511887,0.009799720369234453,102.0437280169168,1.7007288002819467,48.67341148890072,51.41062889884304,0.0007652087343564351,0.5897103109101132,0.39538244413184814,False,True,False
L3 670nm,Vendor,45.0,False,40.86815,44.93001666666667,31,110.75137360929754,18.277296965883973,129.0286705751815,0.014238931539708576,70.22998862037275,1.1704998103395459,44.374654058023005,46.25850082928039,0.5686223367895337,1.0441301536525418,0.1552167979249091,False,False,False
L3 670nm,Vendor,46.0,False,40.86815,45.87511666666667,38,110.92088375508504,18.479198938906755,129.4000826939918,0.013431594645522647,74.45132364334303,1.2408553940557172,44.58542055078627,46.582500265827896,0.32678687388080124,1.0091875506485881,0.13325452682421576,False,False,False
L3 670nm,Vendor,47.0,False,40.86815,46.957649999999994,46,111.83019332190197,19.279946203871372,131.11013952577335,0.010187903141453094,98.15562497165345,1.635927082860891,45.7689495593074,48.401872628441446,0.4661309518078778,1.2358183235138893,0.3719866380389103,False,False,False
L3 670nm,Vendor,48.0,False,40.86815,47.90298333333333,53,113.27475869442482,20.919846766448998,134.19460546087382,0.006597439845148877,151.57394739041143,2.526232456506857,48.43606610045717,52.50188039158083,1.2917332616201098,1.535042479292642,0.6043168801522347,False,False,False
L3 670nm,Vendor,49.0,False,40.86815,48.98441666666667,61,114.32158362401279,23.116127007164277,137.43771063117705,0.0046298271707771186,215.9907839134629,3.599846398557715,51.65232603599645,57.44605530877459,2.4252043683922246,1.5808658759805077,0.6490158652613113,False,False,False
L3 670nm,Vendor,50.0,False,40.86815,49.9294,68,114.93572853674884,25.11867730718228,140.05440584393114,0.0036718467261413405,272.3425226005763,4.5390420433429375,54.46590474026089,61.771211090949365,3.4120743373048215,1.5769107253693206,0.6587735215703896,False,False,False
L3 670nm,Vendor,51.0,False,40.86815,50.87656666666667,75,115.00410312966444,25.369685905128193,140.37378903479265,0.0035769078456061236,279.5710829476361,4.659518049127269,54.82681859897789,62.32602360091429,2.96122770381236,1.5133401133107498,0.6444509557122351,False,False,False
L3 670nm,Vendor,52.0,False,40.86815,51.959266666666664,83,115.13187479347155,25.78658570745015,140.9184605009217,0.003417737544691844,292.5912206316485,4.8765203438608085,55.47689937674643,63.325356098912195,2.652394646744276,1.4541912387684814,0.6238939625659967,False,True,False
L3 670nm,Vendor,53.0,False,40.86815,52.90725,90,115.2450893637151,26.108173816044218,141.35326317975932,0.003293058116267875,303.66910169606456,5.061151694934409,56.03000547386749,64.17561489227504,2.4194036405500823,1.413461801836741,0.6073136874496947,False,True,False
L3 670nm,Vendor,54.0,False,40.86815,53.98918333333334,98,115.455798831935,26.684528379026567,142.14032721096157,0.0030804100271251624,324.63210780198136,5.410535130033023,57.076664706237565,65.78458507106927,2.3607849678253605,1.3895050213682776,0.5904540148174652,False,True,False
